TEAM_ABB,TEAM_NAME,YEAR,WINS,LOSSES,PO_WINS,PO_LOSSES,NBA_FINALS_APPEARANCE,CONF_RANK
BKN,Nets,2010-11,24,58,0,0,N/A,12
BKN,Nets,2011-12,22,44,0,0,N/A,12
BKN,Nets,2012-13,49,33,3,4,N/A,4
BKN,Nets,2013-14,44,38,5,7,N/A,6
BKN,Nets,2014-15,38,44,2,4,N/A,8
BKN,Nets,2015-16,21,61,0,0,N/A,14
BKN,Nets,2016-17,20,62,0,0,N/A,15
BKN,Nets,2017-18,28,54,0,0,N/A,12
BKN,Nets,2018-19,42,40,1,4,N/A,6
BKN,Nets,2019-20,35,37,0,4,N/A,7
BKN,Nets,2020-21,48,24,7,5,N/A,2
BKN,Nets,2021-22,44,38,0,4,N/A,7
BKN,Nets,2022-23,45,37,0,4,N/A,6
BKN,Nets,2023-24,32,50,0,0,N/A,11
BKN,Nets,2024-25,26,56,0,0,N/A,12
BKN,Nets,2025-26,7,18,0,0,N/A,13
NYK,Knicks,2000-01,48,34,2,3,N/A,4
NYK,Knicks,2001-02,30,52,0,0,N/A,13
NYK,Knicks,2002-03,37,45,0,0,N/A,10
NYK,Knicks,2003-04,39,43,0,4,N/A,7
NYK,Knicks,2004-05,33,49,0,0,N/A,12
NYK,Knicks,2005-06,23,59,0,0,N/A,15
NYK,Knicks,2006-07,33,49,0,0,N/A,12
NYK,Knicks,2007-08,23,59,0,0,N/A,14
NYK,Knicks,2008-09,32,50,0,0,N/A,14
NYK,Knicks,2009-10,29,53,0,0,N/A,11
NYK,Knicks,2010-11,42,40,0,4,N/A,6
NYK,Knicks,2011-12,36,30,1,4,N/A,7
NYK,Knicks,2012-13,54,28,6,6,N/A,2
NYK,Knicks,2013-14,37,45,0,0,N/A,9
NYK,Knicks,2014-15,17,65,0,0,N/A,15
NYK,Knicks,2015-16,32,50,0,0,N/A,13
NYK,Knicks,2016-17,31,51,0,0,N/A,12
NYK,Knicks,2017-18,29,53,0,0,N/A,11
NYK,Knicks,2018-19,17,65,0,0,N/A,15
NYK,Knicks,2019-20,21,45,0,0,N/A,12
NYK,Knicks,2020-21,41,31,1,4,N/A,4
NYK,Knicks,2021-22,37,45,0,0,N/A,11
NYK,Knicks,2022-23,47,35,6,5,N/A,5
NYK,Knicks,2023-24,50,32,7,6,N/A,2
NYK,Knicks,2024-25,51,31,10,8,N/A,3
NYK,Knicks,2025-26,18,7,0,0,N/A,2
ORL,Magic,2000-01,43,39,1,3,N/A,7
ORL,Magic,2001-02,44,38,1,3,N/A,5
ORL,Magic,2002-03,42,40,3,4,N/A,8
ORL,Magic,2003-04,21,61,0,0,N/A,15
